,Florida,California,Virginia,Texas,Massachusetts,New York,Connecticut,New Jersey,Washington,Michigan,Arizona,Colorado,Utah,Maine,North Carolina,Iowa,New Hampshire,Montana,Kansas,the District of Columbia,Rhode Island,Oregon,Vermont,Missouri,Pennsylvania,New Mexico,Maryland,Idaho,Georgia,Nevada,Tennessee,Illinois,Minnesota,Oklahoma,South Carolina,Mississippi,Indiana,Hawaii,Alabama,North Dakota,Louisiana,Arkansas,Wisconsin,Alaska,West Virginia,Ohio,Nebraska,South Dakota,Wyoming,Kentucky,Delaware
2000-01-01,107384.2713435084,186305.44662851928,123296.80492715137,112312.33474423438,194368.94311677845,152077.85541684556,160787.35865465036,168373.23998471798,172939.16811418944,114744.97477671393,135157.48299754824,174757.90048960038,167175.94980854748,106055.87882969526,128419.96581296211,90056.43472457145,131902.35533465515,,88314.38990084584,159736.2174684091,130134.7386094826,150058.80213158266,113843.76781897985,96886.17780761221,98624.58725896178,,150499.46901039575,122744.0394280388,125587.85955803636,154047.11040830906,112116.46804538241,126729.10847402319,123108.37599806701,83446.90816948871,114250.32835212874,89690.5415763703,97270.94055180336,192202.31500971338,99913.23490594179,,108948.58468743227,89463.87771928628,118819.8081702825,134139.14747877806,73630.96364687887,104176.52821548526,114425.84695127555,106943.05146861402,,88940.65910941515,148426.82601782345
2000-02-01,107616.87567130965,186931.67484330863,123615.85170120836,112373.36816806666,195017.87636086368,152619.40196977393,161399.91668447386,168827.115156897,173329.25648843573,114808.17356937434,135402.2929335379,175378.41708540427,167267.54270908659,106408.72868389307,128615.34019064071,90228.52834319418,132350.44829783548,,88331.72618241169,160258.68009433878,130726.5802658195,150388.79738203937,114034.39625246536,96999.73587293176,98835.53778210777,,150478.59510834975,122669.63010578864,125873.04786960514,154066.36677280412,112209.99657922893,126830.67006415743,123522.76331691441,83481.33023087715,114502.54705658801,89641.35246070198,97137.19525336094,192113.39041959812,100087.21980905086,,109158.73666514762,89583.44192734153,118785.32309194289,134291.50121165486,73627.81184633914,104240.1895243302,114608.76139736766,106715.83281497506,,88986.5787350765,148657.74409515923
2000-03-01,107898.83848208193,187777.23627873897,123954.11617495504,112402.97033479593,195790.00451958342,153140.72785969367,162039.52908379174,169260.19203150854,173727.18136046157,115039.54870133795,135717.3678177865,176064.152118652,167411.34335231816,106723.77854453078,128816.57187679876,90390.99193292379,132885.36330874581,,88433.86177335498,161000.0006855818,131348.11135992096,150690.27118770833,114333.7715893543,97169.75073002912,99033.7746087427,,150585.22869534013,122716.7750127398,126202.10755313987,154304.79002107843,112305.3854335173,127050.19999812743,123908.3028732481,83641.78248714203,114708.06702554539,89639.21253855688,96986.97781519235,192408.3822044502,100203.79307916122,,109322.04241527205,89719.09759053391,118918.25033674645,134443.77526405858,73651.61164248899,104336.73527387918,114778.28944764996,106397.85712125311,,89070.12761466067,148945.25788672277
2000-04-01,108471.99635409808,189612.6980334972,124593.32352961796,112549.88851328281,197310.7714091425,154261.9581277964,163123.15844961986,170219.68767592468,174530.29548186949,115500.44705426136,136360.73257262455,177597.4310006613,167772.14165565636,107417.85152736267,129253.07894751255,90741.90884166652,133688.34488942043,,88586.54737330618,162589.54457548514,132576.15538071966,151322.89401288293,114922.02647100482,97558.36653360631,99437.7511390391,,150842.5386956767,122814.65840242089,126894.92262590928,154851.1791434888,112534.88348069547,127566.64127138532,124813.30966815219,83933.95763386622,115179.19139174087,89703.87467705573,96530.33303986028,192920.09585573093,100464.95210856234,,109690.20605177684,90008.74435301055,119109.14656758285,134622.35713650228,73711.85033767448,104620.63270909966,115041.44842302399,105969.25998943519,,89277.75422351393,149602.79541434275
2000-05-01,109090.08535475936,191746.14582744054,125210.40821440343,112645.03502966133,198956.926672803,155422.0306509418,164013.61450908933,171197.81804421093,175406.84404876071,116180.13761095352,137089.99562160208,179308.83606019535,169079.69239814664,108071.67187689728,129739.37208004494,91129.6178403813,134567.25426490637,,88816.70724493322,164353.64413958055,133799.8459440435,151887.05898854637,115599.46042822779,98060.34552047256,99852.73618655605,,151380.99486712276,123133.83849651522,127659.07005582574,155547.4249382034,112799.61717895791,128179.41498561093,125806.12070055168,84326.39429295172,115619.05942445493,90018.53245343782,96309.69218221698,193922.49959301428,100756.23257075313,,110080.27168342186,90294.42594811866,119489.99963442533,134891.1981533001,73829.37300178125,105053.50570044538,115174.89883530089,105790.95105843591,,89553.69574811542,150352.74623065616
2000-06-01,109720.73527605447,194048.12979958122,125806.31262219384,112751.71743700164,200740.50542840458,156676.38986386554,164895.59014490532,172365.20673887685,176243.6250298547,116926.64217060378,137744.4366050038,181156.88090160838,170521.1902333574,108805.68062809504,130256.66875864212,91520.95086366123,135495.7363757261,,89076.3219530243,166248.52712605768,134732.2053898766,152410.71876521452,116231.98777849502,98615.0640536862,100279.22854763868,,152032.0195727729,123523.93047521461,128468.8091284538,156172.4818179162,113062.35361305955,128868.09446491743,126953.99834602064,84698.4326584442,116103.58186687906,90468.72044584539,96374.86483239666,195054.55888744327,101108.402320621,,110505.17913005939,90568.70306820836,119936.99774475112,135092.1729791561,74024.60495810694,105590.61095068666,115253.87111566261,105668.77208568838,,89857.0369056349,151180.13419867188
2000-07-01,110354.38419432385,196479.18929665207,126529.67732585764,112821.82428485579,202851.14220927484,157804.05434321475,165881.3308886534,173686.21467808424,177152.7009224624,117797.53935503303,138409.93881578036,183029.42611789555,171966.26298031316,109595.00559935684,130761.81697057083,91918.36456644286,136784.27585169917,,89414.02313640609,168047.47764130906,135584.31828052326,152846.727198296,116862.04920041571,99218.14647169657,100732.13713096488,,152802.51923874512,123909.6989632423,129287.02879983206,156656.93182050157,113346.55767537076,129615.06273853779,128216.63464632716,85083.68058028787,116573.76551283465,90884.4816471336,96848.47191072511,196186.66655658264,101434.49806507114,,110920.57524465327,90833.81106766866,120528.94760677683,135511.54343961456,74281.15972863913,106121.56879806037,115345.33937580447,105583.57005017635,,90199.04592181036,152021.96714468443
2000-08-01,110999.72312747555,199017.34378510038,127382.69599035977,113029.22788884999,205448.50120232571,158791.1330105443,167073.87246717917,175291.42715538395,177992.69105322598,118676.64315188005,139049.20826068264,185062.15893061974,172561.48840069832,110416.1637831659,131238.17900053682,92258.21150748042,138293.823249005,,89780.73649155367,169594.89263489656,136438.16147304286,153312.42554143132,117513.44965144696,99868.46051867794,101164.48741329083,,153517.54355873002,124299.31220466942,130151.93848830654,157123.67404202418,113639.8880680477,130678.2826766069,129945.90233565164,85442.30830632585,117091.36270529026,91280.46356989226,97331.20928869296,197496.63919862153,101729.19087053942,,111249.0273551661,91135.41190518031,121183.18981963377,135708.78932422205,74616.75251130998,106637.62401037064,115564.2411459025,105427.0219091006,,90590.29450997198,152841.13561242304
2000-09-01,111668.62152108255,201561.3883841672,128314.89316218365,113301.20708987628,208367.11645728082,159668.24719754604,168329.5063362103,177066.4657460211,178757.2847164673,119516.88596086577,139756.23609122375,187196.04778735558,173081.93088508854,111270.70925683311,131703.12809296613,92612.71030640455,139915.57845580616,,90124.23590945352,170757.23679935932,137490.19580644488,153704.01775297464,118233.59453959216,100523.24004829054,101605.01183236385,,154248.31197650763,124625.47355134971,131035.92497796954,157685.41578729232,113990.34808947374,131928.64809107795,131733.61171739604,85768.30721915378,117625.71152632018,91633.21119544892,97708.43112759067,198791.4980773478,102045.30206757493,,111623.10112426298,91476.53664458578,121838.55554101818,135888.72179880633,74917.2519409696,107144.68307877005,115831.63049312885,105645.11602648243,,91024.54630156401,153597.30617619105
2000-10-01,112351.46239572599,203973.96809348123,129196.90299152552,113592.63803187017,211450.20342293693,160608.39821165302,169703.60059638266,178861.3557282933,179423.0652777589,120301.63809882668,140437.47073382803,189315.53187118436,173521.52819619534,112078.6171873688,132194.68149013974,93049.62069309068,141781.54106708642,,90475.4199380143,171053.37076197335,138544.67949007856,154097.37032755135,119100.2227861721,101219.30787278456,102027.49092798478,,155019.4870758704,124940.4137549603,131954.68246162497,158316.95776250566,114329.76170982933,133371.79766197037,133563.17165961288,86059.65119659402,118151.66556860348,92122.6318934883,98170.24776702964,200147.0051494719,102408.02451044331,,112066.08202759549,91819.2320876271,122480.25445302385,135831.03457727112,75263.83665672045,107634.50991220803,116112.39669565427,105889.56372967799,,91430.23464323947,154272.56757028808
