Date,State,HomeValue
2000-01-01,Florida,107384.2713435084
2000-02-01,Florida,107616.87567130964
2000-03-01,Florida,107898.83848208192
2000-04-01,Florida,108471.99635409808
2000-05-01,Florida,109090.08535475936
2000-06-01,Florida,109720.73527605447
2000-07-01,Florida,110354.38419432384
2000-08-01,Florida,110999.72312747556
2000-09-01,Florida,111668.62152108256
2000-10-01,Florida,112351.462395726
2000-11-01,Florida,113061.04681165748
2000-12-01,Florida,113792.92258800604
2001-01-01,Florida,114462.1292409149
2001-02-01,Florida,115126.98676521111
2001-03-01,Florida,115822.0065400676
2001-04-01,Florida,116642.99299541528
2001-05-01,Florida,117542.22077915022
2001-06-01,Florida,118480.86960937348
2001-07-01,Florida,119489.94441704958
2001-08-01,Florida,120559.49596558686
2001-09-01,Florida,121668.3139820657
2001-10-01,Florida,122780.17455693008
2001-11-01,Florida,123846.49157772964
2001-12-01,Florida,124892.2818161882
2002-01-01,Florida,125836.51398506698
2002-02-01,Florida,126709.94066207534
2002-03-01,Florida,127563.89321173316
2002-04-01,Florida,128524.74755757392
2002-05-01,Florida,129578.99489232672
2002-06-01,Florida,130681.26540134626
2002-07-01,Florida,131803.48055958323
2002-08-01,Florida,133002.79925734983
2002-09-01,Florida,134189.3269487526
2002-10-01,Florida,135374.29870989473
2002-11-01,Florida,136500.00714172536
2002-12-01,Florida,137719.5949498641
2003-01-01,Florida,138921.88416210565
2003-02-01,Florida,140157.40635199138
2003-03-01,Florida,141424.38318676947
2003-04-01,Florida,142835.9798616195
2003-05-01,Florida,144327.008404706
2003-06-01,Florida,145806.44674435866
2003-07-01,Florida,147271.1377405664
2003-08-01,Florida,148768.72761945968
2003-09-01,Florida,150323.41434298691
2003-10-01,Florida,151898.48654754853
2003-11-01,Florida,153443.61463492675
2003-12-01,Florida,154921.95301815114
2004-01-01,Florida,156339.24250406137
2004-02-01,Florida,157742.7675034071
2004-03-01,Florida,159280.47826896273
2004-04-01,Florida,161033.8814705739
2004-05-01,Florida,163086.62933375489
2004-06-01,Florida,165415.17917610894
2004-07-01,Florida,168002.0748717172
2004-08-01,Florida,170850.90159838667
2004-09-01,Florida,173743.70734604867
2004-10-01,Florida,176522.74127374543
2004-11-01,Florida,179129.28267803937
2004-12-01,Florida,181785.33728246385
2005-01-01,Florida,184512.7000244544
2005-02-01,Florida,187429.21242632528
2005-03-01,Florida,190699.22522368535
2005-04-01,Florida,194553.25934519415
2005-05-01,Florida,198853.76937298055
2005-06-01,Florida,203515.72412189012
2005-07-01,Florida,208490.74964906464
2005-08-01,Florida,213632.68933268063
2005-09-01,Florida,218672.4240099139
2005-10-01,Florida,223313.93270558468
2005-11-01,Florida,227605.2852101992
2005-12-01,Florida,231626.2814888084
2006-01-01,Florida,235342.98595587345
2006-02-01,Florida,238791.26676924285
2006-03-01,Florida,242374.8100676348
2006-04-01,Florida,246364.49583958372
2006-05-01,Florida,250190.6336564631
2006-06-01,Florida,253393.9886956344
