Date,Metric,CPI_Value
1997-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",159.40
1997-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",159.70
1997-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",159.80
1997-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",159.90
1997-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",159.90
1997-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",160.20
1997-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",160.40
1997-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",160.80
1997-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",161.20
1997-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",161.50
1997-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",161.70
1997-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",161.80
1998-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",162.00
1998-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",162.00
1998-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",162.00
1998-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",162.20
1998-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",162.60
1998-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",162.80
1998-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",163.20
1998-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",163.40
1998-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",163.50
1998-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",163.90
1998-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",164.10
1998-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",164.40
1999-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",164.70
1999-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",164.70
1999-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",164.80
1999-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",165.90
1999-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",166.00
1999-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",166.00
1999-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",166.70
1999-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",167.10
1999-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",167.80
1999-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",168.10
1999-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",168.40
1999-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",168.80
